Europe Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1910,-0.02
1911,-0.18
1912,-0.74
1913,-0.18
1914,-0.19
1915,-0.61
1916,-0.04
1917,-0.75
1918,-0.13
1919,-0.67
1920,0.05
1921,0.04
1922,-0.57
1923,-0.19
1924,-0.41
1925,-0.09
1926,0.00
1927,-0.14
1928,-0.25
1929,-0.68
1930,0.43
1931,-0.54
1932,-0.08
1933,-0.61
1934,0.68
1935,0.00
1936,0.29
1937,0.53
1938,0.52
1939,0.16
1940,-1.05
1941,-1.07
1942,-0.90
1943,0.37
1944,0.06
1945,0.07
1946,0.19
1947,0.07
1948,0.25
1949,0.46
1950,0.29
1951,0.21
1952,-0.10
1953,0.22
1954,-0.28
1955,-0.07
1956,-1.07
1957,0.25
1958,-0.03
1959,0.33
1960,0.26
1961,0.69
1962,-0.19
1963,-0.40
1964,-0.13
1965,-0.55
1966,0.27
1967,0.21
1968,-0.04
1969,-0.47
1970,-0.15
1971,0.00
1972,0.01
1973,-0.04
1974,0.32
1975,0.59
1976,-0.45
1977,0.01
1978,-0.47
1979,-0.07
1980,-0.53
1981,0.04
1982,0.26
1983,0.47
1984,0.05
1985,-0.67
1986,-0.12
1987,-0.62
1988,0.30
1989,1.06
1990,1.04
1991,0.21
1992,0.46
1993,0.01
1994,0.86
1995,0.63
1996,-0.14
1997,0.49
1998,0.61
1999,1.09
2000,1.27
2001,0.88
2002,1.11
2003,0.91
2004,0.76
2005,0.79
2006,1.08
2007,1.39
2008,1.28
2009,1.08
2010,0.60
2011,1.23
2012,0.99
2013,1.06
2014,1.80
2015,1.73
2016,1.50
2017,1.40
2018,1.89
2019,1.84
2020,2.17
